Customer,Alternatives,Choice,Price,Energy Loss,Maintenance,Warranty,Spare Parts,Ease of Install,Prob Solver,Quality
Customer 1 ,ABB,0,6,6,7,6,6,5,7,5
Customer 1 ,GE,1,6,6,6,7,9,9,7,5
Customer 1 ,Westinghouse,0,6,5,7,5,3,4,7,6
Customer 1 ,Edison,0,5,5,6,7,8,2,6,5
Customer 2 ,ABB,0,3,4,5,4,4,5,6,4
Customer 2 ,GE,0,3,4,5,4,7,3,5,5
Customer 2 ,Westinghouse,0,4,5,5,5,5,7,6,4
Customer 2 ,Edison,1,4,5,6,5,4,5,5,6
Customer 3 ,ABB,1,6,6,7,7,6,7,7,6
Customer 3 ,GE,0,5,6,7,7,5,6,8,6
Customer 3 ,Westinghouse,0,5,6,7,5,5,8,6,5
Customer 3 ,Edison,0,6,5,5,4,2,8,6,5
Customer 4 ,ABB,0,6,6,5,5,4,5,5,5
Customer 4 ,GE,0,5,5,6,5,4,6,7,5
Customer 4 ,Westinghouse,0,4,4,5,4,6,7,5,3
Customer 4 ,Edison,1,4,4,6,7,7,8,7,5
Customer 5 ,ABB,0,4,4,6,8,7,1,5,4
Customer 5 ,GE,0,3,4,6,6,3,4,5,3
Customer 5 ,Westinghouse,1,5,5,4,5,6,5,6,4
Customer 5 ,Edison,0,2,3,6,4,4,2,5,3
Customer 6 ,ABB,0,5,4,5,4,6,7,6,5
Customer 6 ,GE,1,5,6,6,7,9,4,7,5
Customer 6 ,Westinghouse,0,4,6,6,7,7,5,6,5
Customer 6 ,Edison,0,3,5,7,8,5,6,6,4
Customer 7 ,ABB,0,6,6,7,6,3,5,6,6
Customer 7 ,GE,0,5,5,6,9,7,5,8,5
Customer 7 ,Westinghouse,0,4,5,7,7,5,6,6,6
Customer 7 ,Edison,1,5,6,7,7,6,8,6,6
Customer 8 ,ABB,0,3,4,5,1,3,4,3,4
Customer 8 ,GE,0,6,4,6,5,5,2,7,5
Customer 8 ,Westinghouse,0,4,5,4,2,3,3,5,4
Customer 8 ,Edison,1,5,5,5,5,4,8,5,5
Customer 9 ,ABB,0,7,6,5,5,7,2,5,6
Customer 9 ,GE,0,4,5,7,5,7,3,6,4
Customer 9 ,Westinghouse,0,6,6,6,5,7,5,6,6
Customer 9 ,Edison,1,4,5,7,9,4,7,8,6
Customer 10 ,ABB,0,5,5,7,6,6,7,6,5
Customer 10 ,GE,1,6,5,7,6,5,5,7,5
Customer 10 ,Westinghouse,0,5,5,5,1,2,4,6,5
Customer 10 ,Edison,0,5,4,5,2,6,5,5,5
Customer 11 ,ABB,1,5,5,6,5,6,5,5,5
Customer 11 ,GE,0,5,5,7,4,5,4,5,5
Customer 11 ,Westinghouse,0,5,5,5,5,3,6,7,4
Customer 11 ,Edison,0,3,3,4,1,2,4,3,3
Customer 12 ,ABB,0,5,6,6,5,7,2,7,5
Customer 12 ,GE,0,4,4,7,7,9,7,6,6
Customer 12 ,Westinghouse,0,6,7,7,4,6,5,7,6
Customer 12 ,Edison,1,6,6,9,9,8,6,7,6
Customer 13 ,ABB,1,4,5,8,9,9,8,7,5
Customer 13 ,GE,0,4,6,5,5,7,3,5,5
Customer 13 ,Westinghouse,0,5,5,7,7,8,4,7,6
Customer 13 ,Edison,0,4,4,4,4,1,4,4,5
Customer 14 ,ABB,0,6,6,5,4,4,5,7,5
Customer 14 ,GE,0,5,5,9,9,5,5,7,5
Customer 14 ,Westinghouse,1,6,6,6,6,8,6,8,7
Customer 14 ,Edison,0,5,5,5,5,2,8,6,4
Customer 15 ,ABB,0,6,6,6,4,5,5,4,6
Customer 15 ,GE,1,5,7,6,5,5,5,7,5
Customer 15 ,Westinghouse,0,6,6,5,2,5,5,5,5
Customer 15 ,Edison,0,4,4,5,7,7,5,6,4
Customer 16 ,ABB,0,4,5,5,3,4,2,6,4
Customer 16 ,GE,1,3,5,5,7,7,2,6,3
Customer 16 ,Westinghouse,0,6,6,4,1,4,1,4,4
Customer 16 ,Edison,0,6,5,4,6,4,2,4,2
Customer 17 ,ABB,0,4,5,5,7,6,3,7,3
Customer 17 ,GE,1,4,4,5,6,5,9,6,4
Customer 17 ,Westinghouse,0,5,5,4,3,4,5,5,5
Customer 17 ,Edison,0,5,5,4,5,3,8,5,4
Customer 18 ,ABB,0,5,4,5,6,7,7,6,6
Customer 18 ,GE,0,5,5,5,5,5,3,5,5
Customer 18 ,Westinghouse,1,5,5,6,8,4,8,7,5
Customer 18 ,Edison,0,1,3,4,4,3,5,3,3
Customer 19 ,ABB,0,5,5,7,5,5,4,6,5
Customer 19 ,GE,1,6,5,7,8,6,6,6,5
Customer 19 ,Westinghouse,0,4,4,4,3,3,4,5,5
Customer 19 ,Edison,0,4,4,5,4,3,7,5,5
Customer 20 ,ABB,0,3,4,5,6,5,9,5,4
Customer 20 ,GE,1,4,5,6,8,6,5,7,4
Customer 20 ,Westinghouse,0,5,5,5,5,4,5,5,4
Customer 20 ,Edison,0,4,4,5,5,1,6,5,4
Customer 21 ,ABB,1,6,5,8,6,6,7,7,6
Customer 21 ,GE,0,6,7,7,5,5,6,6,5
Customer 21 ,Westinghouse,0,6,6,6,3,6,3,5,6
Customer 21 ,Edison,0,6,5,5,7,5,6,5,6
Customer 22 ,ABB,0,4,5,6,7,9,8,7,6
Customer 22 ,GE,1,6,6,7,8,7,6,8,6
Customer 22 ,Westinghouse,0,5,5,6,4,3,6,6,5
Customer 22 ,Edison,0,5,6,8,9,9,5,7,5
Customer 23 ,ABB,0,6,6,6,7,8,4,6,6
Customer 23 ,GE,0,5,6,7,8,6,8,7,4
Customer 23 ,Westinghouse,0,6,6,7,5,5,6,7,5
Customer 23 ,Edison,1,5,6,8,8,7,8,7,6
Customer 24 ,ABB,1,6,6,8,8,5,6,7,6
Customer 24 ,GE,0,6,5,7,8,5,6,7,5
Customer 24 ,Westinghouse,0,6,5,6,8,4,6,8,6
Customer 24 ,Edison,0,5,5,6,4,7,7,6,4
Customer 25 ,ABB,0,5,6,5,5,2,9,5,7
Customer 25 ,GE,0,4,4,7,9,6,4,8,5
Customer 25 ,Westinghouse,1,7,7,6,5,6,4,6,6
Customer 25 ,Edison,0,5,5,5,3,6,5,6,4
Customer 26 ,ABB,0,6,6,6,4,5,7,5,6
Customer 26 ,GE,0,5,6,6,7,6,8,6,3
Customer 26 ,Westinghouse,0,5,4,5,7,4,6,7,6
Customer 26 ,Edison,1,6,5,5,4,5,5,6,7
Customer 27 ,ABB,0,3,4,3,1,3,6,3,3
Customer 27 ,GE,0,4,5,4,1,5,3,4,5
Customer 27 ,Westinghouse,0,4,3,5,3,2,2,5,4
Customer 27 ,Edison,1,5,5,4,3,4,3,5,5
Customer 28 ,ABB,0,5,5,7,6,3,8,7,6
Customer 28 ,GE,0,6,6,6,6,9,5,8,6
Customer 28 ,Westinghouse,0,6,6,7,9,9,2,7,7
Customer 28 ,Edison,1,6,7,8,8,9,3,8,6
Customer 29 ,ABB,0,1,3,5,6,7,4,4,3
Customer 29 ,GE,0,4,4,4,4,6,4,5,5
Customer 29 ,Westinghouse,0,4,5,6,7,5,4,6,4
Customer 29 ,Edison,1,4,6,6,6,7,7,6,5
Customer 30 ,ABB,0,4,4,7,7,5,5,5,4
Customer 30 ,GE,1,4,5,6,7,5,7,6,4
Customer 30 ,Westinghouse,0,3,5,6,4,4,3,4,3
Customer 30 ,Edison,0,4,4,6,7,5,5,6,4
Customer 31 ,ABB,0,3,4,3,2,1,9,4,4
Customer 31 ,GE,0,3,4,6,5,6,5,6,4
Customer 31 ,Westinghouse,1,5,5,5,2,4,2,5,4
Customer 31 ,Edison,0,2,3,4,6,6,3,5,2
Customer 32 ,ABB,0,6,4,7,7,6,8,7,5
Customer 32 ,GE,0,4,5,6,5,6,7,5,4
Customer 32 ,Westinghouse,1,7,6,6,7,5,6,7,7
Customer 32 ,Edison,0,4,6,5,5,5,6,7,4
Customer 33 ,ABB,0,4,4,5,3,6,6,6,3
Customer 33 ,GE,0,4,4,5,5,5,2,6,5
Customer 33 ,Westinghouse,0,4,4,4,3,3,5,4,5
Customer 33 ,Edison,1,5,5,5,4,6,2,6,5
Customer 34 ,ABB,0,4,4,4,5,3,5,6,4
Customer 34 ,GE,0,3,4,5,3,3,6,5,4
Customer 34 ,Westinghouse,0,3,4,4,5,3,6,5,5
Customer 34 ,Edison,1,5,4,5,7,6,4,6,6
Customer 35 ,ABB,0,7,6,7,6,4,5,7,7
Customer 35 ,GE,0,5,6,8,7,8,5,7,5
Customer 35 ,Westinghouse,0,5,5,8,9,9,7,8,5
Customer 35 ,Edison,1,7,7,7,8,8,7,8,7
Customer 36 ,ABB,0,5,4,4,2,5,4,5,6
Customer 36 ,GE,0,4,5,5,4,2,3,5,4
Customer 36 ,Westinghouse,1,4,4,6,5,3,5,5,5
Customer 36 ,Edison,0,3,3,4,3,6,2,4,3
Customer 37 ,ABB,1,5,6,5,6,4,2,7,5
Customer 37 ,GE,0,4,5,5,5,4,8,6,7
Customer 37 ,Westinghouse,0,5,5,7,8,7,8,6,5
Customer 37 ,Edison,0,5,5,5,3,4,6,6,6
Customer 38 ,ABB,1,5,5,5,4,6,9,6,6
Customer 38 ,GE,0,4,5,5,3,4,7,4,5
Customer 38 ,Westinghouse,0,3,4,7,6,6,5,7,3
Customer 38 ,Edison,0,4,3,6,6,6,7,6,4
Customer 39 ,ABB,0,5,6,7,8,5,5,9,5
Customer 39 ,GE,0,6,7,6,5,4,6,7,5
Customer 39 ,Westinghouse,1,6,6,7,7,7,6,8,6
Customer 39 ,Edison,0,6,5,4,2,3,9,5,5
Customer 40 ,ABB,0,4,5,5,4,9,7,5,5
Customer 40 ,GE,0,5,4,6,5,6,3,6,4
Customer 40 ,Westinghouse,1,5,6,6,4,5,6,6,6
Customer 40 ,Edison,0,5,5,6,9,6,6,7,5
Customer 41 ,ABB,1,5,5,6,8,3,2,7,6
Customer 41 ,GE,0,4,5,5,5,6,3,5,5
Customer 41 ,Westinghouse,0,4,6,8,9,8,6,7,5
Customer 41 ,Edison,0,2,3,3,1,2,3,3,3
Customer 42 ,ABB,1,6,7,8,4,7,7,7,6
Customer 42 ,GE,0,5,6,7,7,5,3,7,6
Customer 42 ,Westinghouse,0,5,6,8,9,9,1,7,4
Customer 42 ,Edison,0,4,5,6,8,2,4,6,4
Customer 43 ,ABB,0,4,5,6,7,7,8,7,5
Customer 43 ,GE,0,6,5,6,3,3,5,5,6
Customer 43 ,Westinghouse,1,6,6,7,4,6,5,7,6
Customer 43 ,Edison,0,3,3,5,5,6,1,6,4
Customer 44 ,ABB,1,6,6,7,9,8,6,8,7
Customer 44 ,GE,0,6,6,6,6,8,8,8,5
Customer 44 ,Westinghouse,0,6,6,7,8,7,9,8,6
Customer 44 ,Edison,0,4,5,8,9,6,6,8,4
Customer 45 ,ABB,1,5,5,4,2,4,3,6,4
Customer 45 ,GE,0,4,3,4,5,3,4,4,3
Customer 45 ,Westinghouse,0,5,4,4,1,3,3,5,3
Customer 45 ,Edison,0,4,4,5,6,4,3,5,4
Customer 46 ,ABB,0,5,4,6,4,4,7,5,5
Customer 46 ,GE,0,4,4,4,1,6,7,5,3
Customer 46 ,Westinghouse,1,5,5,5,6,4,3,5,5
Customer 46 ,Edison,0,3,3,5,5,3,3,4,3
Customer 47 ,ABB,0,2,3,5,2,4,2,5,3
Customer 47 ,GE,1,4,4,5,6,5,4,6,4
Customer 47 ,Westinghouse,0,3,4,5,6,4,5,4,4
Customer 47 ,Edison,0,3,3,5,8,8,2,6,4
Customer 48 ,ABB,0,5,6,6,7,3,4,6,5
Customer 48 ,GE,0,6,7,8,7,9,4,7,6
Customer 48 ,Westinghouse,1,7,7,9,9,9,4,8,7
Customer 48 ,Edison,0,5,5,5,4,5,5,5,4
Customer 49 ,ABB,0,4,4,6,6,3,6,6,5
Customer 49 ,GE,0,5,5,6,4,8,7,7,6
Customer 49 ,Westinghouse,1,6,6,7,7,7,6,7,5
Customer 49 ,Edison,0,5,6,4,2,4,4,5,6
Customer 50 ,ABB,1,6,6,5,3,5,5,6,4
Customer 50 ,GE,0,5,5,6,3,6,7,6,6
Customer 50 ,Westinghouse,0,4,6,6,4,5,4,5,5
Customer 50 ,Edison,0,3,3,6,9,7,4,6,4
Customer 51 ,ABB,0,6,6,6,8,9,5,7,6
Customer 51 ,GE,0,4,5,6,7,5,4,7,6
Customer 51 ,Westinghouse,1,6,7,7,6,5,5,9,6
Customer 51 ,Edison,0,4,5,3,1,4,2,4,4
Customer 52 ,ABB,0,5,6,6,5,5,5,6,5
Customer 52 ,GE,0,5,5,7,8,5,7,7,5
Customer 52 ,Westinghouse,1,6,6,6,5,5,9,7,6
Customer 52 ,Edison,0,4,5,7,6,6,9,7,5
Customer 53 ,ABB,0,5,5,4,2,3,7,5,5
Customer 53 ,GE,0,3,4,5,8,7,1,6,4
Customer 53 ,Westinghouse,1,3,5,6,7,6,3,6,5
Customer 53 ,Edison,0,2,4,5,2,1,5,3,4
Customer 54 ,ABB,1,4,4,7,6,3,4,5,4
